title	type	year	author	country	seen
Zombie Ass (Zombie Ass: Toilet of the Dead)	film	2011	Noboru Iguchi	japan	no
Zombie in a Penguin Suit	film	2011	Chris Russell	usa	no
Zombie Undead	film	2011	Rhys Davies	uk	no
Beverly Lane	film	2010	Joshua Hull	usa	no
Big Tits Zombie (Big Tits Dragon: Hot Spring Zombie vs. Stripper 5)	film	2010	Takao Nakano	japan	no
Devil's Playground	film	2010	Mark McQueen	uk	no
Die-ner (Get It?)	film	2010	Patrick Horvath	usa	no
George A. Romero's Survival of the Dead	film	2010	George A. Romero	usa	no
Horrorween	film	2010	Joe Estevez	usa	no
Island: Wedding of the Zombiea	film	2010	Murat Emir Eren, Talip Erturk	turkey	no
Juan of the Dead (Juan de los Muertos)	film	2010	Alejandro Brugues	spain	no
L.A. Zombie (Gay of the Dead)	film	2010	Bruce LaBruce	canada	no
Misery Bear - Dawn of the Ted	film	2010	Chris Hayward, Nat Saunders	usa	no
Night Shift	film	2010	Rob Chinery, Scott Chinery, Tommy Chinery		no
"Nightmare Alley, segment ""A Fistful of Innards"""	film	2010	Laurence Holloway, Scarlet Fry	NA	no
Pushin' Up Daisies	film	2010	Patrick Franklin	usa	no
Rammbock	film	2010	Marvin Kren	austria	no
Resident Evil: Afterlife	film	2010	Paul W.S. Anderson	usa	no
School of the Dead	film	2010	Sam Horsley	NA	no
Sint (Saint, Saint Nick)	film	2010	Dick Maas	netherlands	no
"Slices of Life, segment ""W.O.R.M."""	film	2010	Anthony G. Sumner	usa	no
The Crazies	film	2010	Breck Eisner	usa	yes
The Dead	film	2010	Howard J. Ford, Jonathan Ford	uk	no
The Dead and the Damned	film	2010	Rene Perez	usa	no
They Walk	film	2010	Charles House II	usa	no
Zomblies	film	2010	David M. Reynolds	uk	no
Alice Jacobs Is Dead	film	2009	Alex Horwitz	usa	no
Autumn	film	2009	Steven Rumbelow	canada	no
Blood Creek (Creek, Town Creek)	film	2009	Joel Schumacher	usa	no
Broken Springs (Broken Springs: Shrine of the Undead Zombie Bastards)	film	2009	Neeley Lawson	usa	no
Dark Floors	film	2009	Pete Riski	finland	no
Dead Air	film	2009	Corbin Bernsen	usa	no
Doghouse	film	2009	Jake West	uk	no
Dong of the Dead	film	2009	Joanna Angel	usa	no
Eat Me! (The Eaters)	film	2009	Katie Carman	usa	no
Evil: In the Time of Heroes	film	2009	Yorgos Noussias	greece	no
Gallowwalkers	film	2009	Andrew Goth	usa	no
George: A Zombie Intervention	film	2009	J.T. Seaton	usa	no
Mutants	film	2009	David Morlet	france	no
Night of the Living Dead: Reanimated	film	2009	Mike Schneider	usa	no
Paris by Night of the Living Dead	film	2009	Gregory Morin	france	no
Pontypool	film	2009	Bruce McDonald	usa	yes
REC 2	film	2009	Jaume Balaguero, Paco Plaza	spain	no
Rising Up: The Story of the Zombie Rights Movement	film	2009	Laura Moss	usa	no
Silent Night, Zombie Night	film	2009	Sean Cain	usa	no
Survival of the Dead	film	2009	George A. Romero	usa	no
The Book of Zombie	film	2009	Scott Kragelund, Paul Cranefield, Erik Van Sant	usa	no
The Crypt	film	2009	Craig McMahon	australia	no
The Horde (La Horde)	film	2009	Yannick Dahan, Benjamin Rocher	france	no
The Night Shift	film	2009	Thomas Smith	usa	no
The Revenant	film	2009	D. Kerry Prior	usa	no
The Sky Has Fallen	film	2009	Doug Roos	usa	no
The Zombeatles: All You Need Is Brains	film	2009	Doug Gordon	usa	no
They Shall Pay with Rivers of Blood	film	2009	Buck Anderson	canada	no
Tormented	film	2009	Jon Wright	uk	no
ZMD: Zombies of Mass Destruction	film	2009	Kevin Hamedani	usa	no
Zombie Women of Satan	film	2009	Steve O'Brien, Warren Speed	usa	no
Zombieland	film	2009	Ruben Fleischer	usa	yes
Zone of the Dead (Zona Mrtvih) 	film	2009	Milan Konjevic, Milan Todorovic	serbia	no
Aces & Eights	film	2008	Matt Allen	usa	no
Colin	film	2008	Marc Price	usa	no
Dance of the Dead	film	2008	Gregg Bishop	usa	no
Day of the Dead	film	2008	Steve Miner	usa	no
Dead Snow	film	2008	Tommy Wirkola	norway	yes
Dead Space: Downfall	film	2008	Chuck Patton	usa	no
Deadgirl	film	2008	Marcel Sarmiento, Gadi Harel	NA	no
Deep River: The Island	film	2008	Ben Bachelder	canada	no
Descendents (Solos)	film	2008	Jorge Olguin	argentina	no
Diary of the Dead	film	2008	George A. Romero	usa	no
Dinner Party of the Damned	film	2008	Brian Wimer	usa	no
Edges of Darkness	film	2008	Jason Horton, Blaine Cade	usa	no
Flick	film	2008	David Howard	usa	no
George Romero's Diary of the Dead	film	2008	George A. Romero	usa	no
Grave Mistake	film	2008	Shawn Darling	usa	no
I Love Sarah Jane	film	2008	Spencer Susser	usa	no
